key,timestamp,bt,user agent,user id,image path,bodypart
e,2022.4.6_18.10.0_226,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_25,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_258,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_288,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_318,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_366,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_396,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_426,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_457,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_487,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_518,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_549,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_56,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_597,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_628,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_660,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_692,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_722,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_755,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_786,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_818,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_851,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_88,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_881,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_912,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_959,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_990,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
,2022.4.6_18.10.11_811,red,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.1_114,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.1_146,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.1_175,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.1_222,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.1_24,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.1_255,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.1_286,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.1_317,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.1_348,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.1_382,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
